Name,Col,Style
bbq,#3e1e1e,mapbox://styles/darwinanddavis/ckfot5jny0bry19ogcalxp8xw
coffee,#443022,mapbox://styles/darwinanddavis/cjy1slolu144l1cr9407s5uep
mexican,#293a1d,mapbox://styles/darwinanddavis/ckfovwugc0fmh19t6p3gwheuh
late_night_eats,#2a344c,mapbox://styles/darwinanddavis/ckfp04zbp0m2v19pju22vkjrg
pizza,#84672a,mapbox://styles/darwinanddavis/ckfp0cwww0djm19qfocx534c3
fried_chicken,#583d61,mapbox://styles/darwinanddavis/ckfp0km0g0jyw19n6upox8to9
live_music,#423e3f,mapbox://styles/darwinanddavis/ckfp0oqp20dh119nrkxl0fi2c
wings,#284043,mapbox://styles/darwinanddavis/ckfp0sbhb0dkm19nr5dvf68km
burgers,#9a6104,mapbox://styles/darwinanddavis/ckfp0vsbl0kfp19mq539vhsyi
favourites,#c51b1b,mapbox://styles/darwinanddavis/ckfp10g9e0mxu19pjgy1pznna
nightmoves,#345332,mapbox://styles/darwinanddavis/ckfp14fy80n1619l84ccjq2in
breweries,#02466e,mapbox://styles/darwinanddavis/ckfp196050hz519mvgvrcyr3d
